Date,Time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-01,10:28:30,0.12,-0.25,0.98,356.20,-3.85,-11.96
2025-02-01,10:28:30,0.07,-1.02,-0.20,127.50,-9.95,-9.09
2025-02-01,10:28:30,0.10,-0.49,0.81,-275.82,22.58,10.19
2025-02-01,10:28:30,0.18,0.72,0.65,2.75,1.53,0.31
2025-02-01,10:28:30,0.10,-0.89,0.56,163.94,5.49,-18.07
2025-02-01,10:28:30,0.12,-0.53,0.78,-397.46,15.50,-4.09
2025-02-01,10:28:30,0.14,0.98,0.19,-1.59,0.73,-0.37
2025-02-01,10:28:30,0.13,-0.18,0.99,225.71,-6.96,-7.14
2025-02-01,10:28:30,0.04,-0.96,0.45,-153.08,20.08,0.31
2025-02-01,10:28:30,0.17,0.73,0.61,-202.88,8.85,11.78
2025-02-01,10:28:30,0.16,0.36,0.88,318.66,-8.97,-2.87
2025-02-01,10:28:30,0.06,-1.03,0.28,22.71,-11.47,-7.93
2025-02-01,10:28:30,0.20,-0.01,0.96,-214.36,11.11,17.82
2025-02-01,10:28:30,0.24,0.17,0.86,123.60,-7.45,-2.32
2025-02-01,10:28:30,0.22,-0.03,0.90,-3.05,30.88,6.71
2025-02-01,10:28:30,0.15,0.44,0.87,-126.16,7.32,10.74
2025-02-01,10:28:30,0.12,0.96,0.31,12.15,-0.24,-2.56
2025-02-01,10:28:30,0.10,-0.83,0.36,183.11,15.81,-4.21
2025-02-01,10:28:30,0.10,-0.89,0.40,-218.99,19.35,14.22
2025-02-01,10:28:30,0.16,0.76,0.79,-25.70,-38.70,47.06
2025-02-01,10:28:30,0.13,-0.56,0.87,168.88,-4.27,23.13
2025-02-01,10:28:30,0.17,-0.99,0.26,-71.72,6.77,-7.32
2025-02-01,10:28:30,0.21,0.49,0.87,-191.35,0.98,-14.95
2025-02-01,10:28:30,0.20,-0.11,1.05,316.83,3.97,-8.36
2025-02-01,10:28:30,0.23,-0.87,0.56,-53.83,0.37,-9.89
2025-02-01,10:28:30,0.23,0.28,0.93,-196.04,-18.74,10.07
2025-02-01,10:28:30,0.20,-0.38,0.81,268.55,8.79,-60.18
